キー	旧・英文	旧・訳	新・英文	新・訳
poet	The young poet’s first collection of verse received critical acclaim and widespread attention.	その若い詩人の最初の詩集は、批評家から高い評価を受け、広く注目を集めた。	Her grandmother was a well-known poet throughout the 1960s in Japan.	彼女の祖母は1960年代を通して日本で有名な詩人だった。
poetry	Her poetry explores themes of loss, resilience, and the beauty of nature’s cycles.	彼女の詩は、喪失、回復力、そして自然のサイクルにおける美しさを探求している。	He has loved reading poetry ever since he was a child.	彼は子どもの頃からずっと詩を読むのが好きだった。
point	Let's get straight to the point and discuss the main issues at hand.	本題に入り、現在抱えている主な問題について話し合いましょう。	She quickly grasped the main point of his long argument.	彼女は彼の長い主張の要点をすぐに理解した。
point_out	The tour guide will point out the historical landmarks during our city tour.	ツアーガイドは市内観光中に史跡を指摘してくれます。	The editor kindly pointed out several mistakes in my essay.	編集者は私のエッセイのいくつかの間違いを親切に指摘してくれた。
point_out_that	The teacher pointed out that the essay lacked sufficient evidence.	先生は、そのエッセイが十分な証拠に乏しいと指摘した。	The teacher pointed out that his essay lacked a clear conclusion.	先生は彼の作文に明確な結論が欠けていると指摘した。
point_to	The evidence clearly points to a lack of proper safety procedures at the factory.	証拠は明らかに工場の不適切な安全手順の欠如を示している。	Recent data point to a steady rise in global temperatures.	最近のデータは世界の気温の着実な上昇を示している。
poison	Scientists are working to develop an antidote for the deadly poison produced by this snake.	科学者たちは、このヘビが産生する致命的な毒に対する解毒剤を開発するために取り組んでいます。	The detective discovered traces of poison in the victim's tea.	探偵は被害者の紅茶から毒の痕跡を発見した。
poke	Don't poke me when I'm trying to concentrate; it’s really distracting.	集中しようとしているときに私を突かないでください。とても気が散ります。	He gently poked his sleeping brother to wake him up.	彼は眠っている弟を起こすためにそっと突いた。
polar	The polar bear's survival is threatened by climate change and melting ice.	地球温暖化と氷の融解により、ホッキョクグマの生存が脅かされています。	Polar bears struggle to find food as the ice melts.	氷が溶けるにつれて、ホッキョクグマは食べ物を見つけるのに苦労している。
pole	The flag was raised high on a tall pole overlooking the town square.	旗は、町の広場を見下ろす高い棒に高く掲げられた。	Near the shore, a wooden pole held up the old fishing net.	岸の近くで、木の棒が古い漁網を支えていた。
police	The police are investigating the incident and asking for witnesses to come forward.	警察は事件を調査しており、目撃者に連絡してほしいと求めています。	The police arrived within minutes after the alarm went off.	警報が鳴った後、数分以内に警察官が到着した。
policy	The company's policy requires all employees to attend mandatory training sessions annually.	会社のポリシーでは、全従業員が毎年必須の研修に参加することが義務付けられています。	The school changed its policy on mobile phones last year.	その学校は、去年携帯電話に関する政策を変更した。
polish	She spent hours trying to polish the antique silver until it gleamed beautifully.	彼女は数時間かけてアンティークの銀食器を磨き、美しく光らせようとしました。	She carefully polished her old shoes before the important job interview.	彼女は大事な就職面接の前に古い靴を丁寧に磨いた。
polite	It is considered polite to use honorific language when speaking to elders.	年長者に話すときは敬語を使うことが礼儀正しいとされています。	The young waiter was polite to every customer.	その若いウェイターはどの客にも礼儀正しかった。
political	The candidate’s political views on education sparked a lively debate among voters.	その候補者の教育に関する政治的な見解は、有権者たちの間で活発な議論を呼びました。	Rising prices became a major political issue before the election.	物価上昇は選挙前に大きな政治的問題となった。
politics	Many young people are becoming more involved in politics to advocate for social change.	多くの若者が社会変革を提唱するために政治に関心を持つようになっている。	She has been interested in politics since her high school days.	彼女は高校時代からずっと政治に関心を持っている。
poll	The latest poll shows a significant shift in public opinion on the issue.	最新の世論調査では、この問題に対する国民意識に大きな変化が見られます。	A recent poll showed strong public support for the new policy.	最近の世論調査はその新政策への強い世論の支持を示した。
pollen	The spring air was thick with pollen, causing many people to sneeze uncontrollably.	春の空気は花粉で濃く、多くの人がつらい鼻炎になりました。	Bees carry pollen from flower to flower as they feed.	ミツバチはえさを食べながら花から花へ花粉を運ぶ。
pollutant	The industrial plant released a dangerous pollutant into the nearby river system.	その工場は、近くの河川システムに危険な汚染物質を放出した。	Factories near the river released harmful pollutants into the water.	川の近くの工場は有害な汚染物質を水中に放出した。
pollute	Plastic waste continues to pollute our oceans, harming marine life and ecosystems.	プラスチックごみは引き続き私たちの海を汚染し、海洋生物や生態系に悪影響を与えている。	Heavy traffic continues to pollute the air in big cities.	激しい交通量は大都市の空気を汚染し続けている。
polluted	The air in the city was heavily polluted due to vehicle emissions and industrial activity.	車両の排気ガスと工業活動により、都市の空気はひどく汚染されていた。	Fish can hardly survive in such heavily polluted rivers anymore.	魚はもはやそのようなひどく汚染された川ではほとんど生きられない。
pollution	Air pollution from factories continues to be a serious concern for public health officials.	工場からの大気汚染は依然として公衆衛生当局にとって深刻な懸念事項です。	Air pollution in the city has worsened over the past decade.	この10年で、その都市の大気汚染はひどくなった。
pond	The ducks swam peacefully across the still surface of the pond.	アヒルたちは、静かな池の表面を平和に泳いでいました。	Ducks swam peacefully across the small pond behind the house.	アヒルたちは家の裏の小さな池を静かに泳いで渡った。
ponder	She needed a moment to ponder her decision before committing to the project.	彼女はプロジェクトを決める前に、自分の決断について熟考する時間が必要でした。	She sat quietly, pondering whether to accept the job offer.	彼女はその仕事の申し出を受けるかどうか静かに熟考していた。
poor	Despite their poor circumstances, they maintained a positive and hopeful attitude.	彼らは貧しい状況でしたが、前向きで希望に満ちた態度を保っていました。	Many poor families struggled to afford proper heating that harsh winter.	その厳しい冬、多くの貧しい家庭が十分な暖房を賄うのに苦労した。
pop	I heard a loud pop and quickly turned around to see what had happened.	大きなポンという音が聞こえ、何が起こったのか確認するために素早く振り向きました。	His head suddenly popped up from behind the garden fence.	彼の頭が庭のフェンスの後ろからひょいと現れた。
popular	That new song is incredibly popular with teenagers all over the world.	その新しい歌は世界中のティーンエイジャーに非常に人気がある。	This small cafe has become popular with local college students.	この小さなカフェは地元の大学生の間で人気になった。
popularity	The popularity of the new song quickly spread across all social media platforms.	その新しい歌の人気はすぐにすべてのソーシャルメディアプラットフォームに広がりました。	The singer's popularity grew rapidly after her first world tour.	その歌手の人気は初の世界ツアーの後急速に高まった。
populate	As cities grow, they tend to populate surrounding areas with new residential developments.	都市が成長すると、周辺地域を新しい住宅開発で人口増加させることがあります。	Diverse species populate the coral reefs along this tropical coastline.	多様な種がこの熱帯の海岸沿いのサンゴ礁に住んでいる。
population	The population of Tokyo is significantly higher than that of most other major cities worldwide.	東京の人口は、世界中の他の主要都市と比較して大幅に高くなっています。	The population of that small coastal town has doubled since 2010.	その小さな沿岸の町の人口は、2010年以降2倍になった。
port	Many cargo ships dock at the busy port, bringing goods from around the world.	多くの貨物船が賑やかな港に停泊し、世界中から商品を運びます。	The ship finally reached port just before midnight.	船は真夜中の直前にようやく港に着いた。
portable	The portable speaker allowed them to enjoy music anywhere they went.	ポータブルスピーカーのおかげで、どこへ行っても音楽を楽しめました。	This portable speaker fits easily inside almost any small backpack.	この持ち運びできるスピーカーは、どんな小さなリュックにもらくらく入る。
portion	Please serve a generous portion of pasta for each guest at the dinner party.	夕食パーティーでは、各ゲストにたっぷりのパスタを配ってください。	The waiter served a generous portion of rice with the curry.	ウェイターはカレーと一緒にたっぷりの1盛りのご飯を出した。
portrait	The museum displayed a striking portrait of a famous historical figure.	その美術館では、有名な歴史上の人物の印象的な肖像画が展示されていました。	The artist spent months painting a portrait of the queen.	その画家は女王の肖像画を描くのに数か月を費やした。
portray	The actor hoped to portray the character’s vulnerability with subtlety and nuance.	俳優はキャラクターの脆さを繊細さとニュアンスを持って描こうと願っていました。	The film portrays daily life in a small fishing village.	その映画は小さな漁村の日常生活を描いている。
pose	The new regulations pose a significant challenge to small businesses across the country.	新しい規制は、全国の小規模企業にとって大きな課題となっています。	Melting glaciers pose a serious threat to coastal cities worldwide.	氷河の融解は世界中の沿岸都市に深刻な脅威を引き起こしている。
position	Her position as team leader requires her to mediate conflicts and offer guidance.	チームリーダーとしての彼女の役割は、対立を仲裁し、指導を提供することを必要とします。	As team captain, he was in a difficult position to decide.	チームキャプテンとして、彼は決断するのが難しい立場にあった。
positive	Maintaining a positive attitude is crucial when facing difficult challenges in life.	人生で困難な課題に直面する際には、前向きな態度を維持することが重要です。	Try to stay positive even when everything gets really difficult.	すべてがとても難しくなったときでも、前向きでいるよう努めよう。
possess	The museum hopes to possess a rare artifact from ancient Egypt in its collection.	博物館は、古代エジプトからの貴重な遺物をコレクションに加えたいと思っています。	Few students possess such remarkable talent for mathematics at that age.	あの年齢でそれほどの数学の才能を持っている生徒はほとんどいない。
possession	Owning a house is often seen as a sign of financial stability and possession.	家を所有することは、しばしば財政的な安定と所有の証と見なされます。	He kept his grandfather's watch as his most treasured possession.	彼は祖父の時計を最も大切な所有物として持ち続けた。
possible	It’s possible that we will see a significant shift in policy next year.	来年には大きな政策転換があるかもしれないです。	It is possible to finish the entire project within one month.	そのプロジェクト全体を1か月以内に終えることは可能だ。
possibly	The rain might start soon; possibly, we should take an umbrella.	雨がすぐに降り始めるかもしれません。たぶん傘を持っていくべきです。	Possibly the biggest challenge was convincing investors to trust the plan.	ひょっとすると最大の課題は投資家にその計画を信頼させることだった。
post	Please post the letter before it’s too late to reach its destination.	目的地に届くのが遅くなる前に、手紙を投函してください。	She posted several photos from her trip on social media.	彼女は旅行の写真を何枚かソーシャルメディアに投稿した。
posterior	The posterior view of the building shows a beautiful architectural detail.	建物の後ろからの眺めは、美しい建築のディテールを見せてくれます。	This bone sits posterior to the main joint in most mammals.	この骨はほとんどの哺乳類において主要な関節より後ろに位置する。
posterity	Artists create works hoping to leave a lasting legacy for posterity.	芸術家は、後世に残る遺産を残すことを願って作品を作る。	The museum carefully preserves these ancient documents for the sake of posterity.	その博物館は後世のためにこれらの古い文書を丁寧に保存している。
postpone	Due to unforeseen circumstances, we had to postpone the meeting until next week.	予期せぬ事情により、会議は来週まで延期しなければなりませんでした。	Organizers decided to postpone the outdoor concert until next weekend.	主催者たちは屋外コンサートを来週末まで延期することに決めた。
posture	Maintaining good posture while studying can help prevent back pain and improve focus.	勉強する際に正しい姿勢を保つことは、背中の痛みを予防し集中力を高めるのに役立つ。	Sitting for long hours can seriously damage your posture over time.	長時間座り続けることは時間とともに姿勢を深刻に損なう可能性がある。
postwar	The postwar economic boom transformed many European cities and societies.	戦後の経済ブームは、多くのヨーロッパの都市や社会を変えました。	The postwar economy grew rapidly throughout the following two decades.	戦後の経済はその後の20年間で急速に成長した。
potent	The company’s potent marketing campaign significantly increased brand awareness.	その会社の強力なマーケティングキャンペーンは、ブランド認知度を大幅に向上させました。	Researchers created a potent new vaccine against the deadly virus.	研究者たちはその致死性ウイルスに対する力強い新しいワクチンを開発した。
potential	The young athlete has the potential to become a world-class competitor with dedicated training.	その若い選手は、献身的なトレーニングで世界レベルの競技者になる潜在能力を持っています。	The report warned of several potential problems with the new policy.	その報告書は新政策が抱えるいくつかの可能な問題について警告した。
pottery	She enjoys making beautiful bowls and vases from clay pottery.	彼女は粘土を使った陶器で、美しいお皿や花瓶を作るのが好きです。	Local artisans have produced fine pottery in this village for generations.	地元の職人たちは何世代にもわたってこの村で上質な陶器類を作ってきた。
pound	He needed to lift a fifty-pound bag of groceries into the car.	彼は50ポンドの食料品袋を車に持ち込む必要がありました。	He exchanged one hundred dollars for British pounds at the airport.	彼は空港で100ドルを英国のポンドに両替した。
pour	Could you please pour me a glass of water from the pitcher on the table?	テーブルのピッチャーから、私にコップ一杯のお水を入れてもらえますか？	She carefully poured hot water into the small ceramic teapot.	彼女は小さな陶器のティーポットに熱いお湯を注意深く注いだ。
poverty	Charitable organizations work tirelessly to alleviate poverty in developing countries.	慈善団体は開発途上国における貧困を緩和するために尽力しています。	Many families in that region still live in poverty.	その地域の多くの家庭は今も貧困の中で暮らしている。
power	Renewable power sources, like solar and wind energy, are becoming increasingly important.	太陽光や風力などの再生可能エネルギー源はますます重要になっています。	Knowledge truly is a kind of power in modern society.	知識は現代社会において本当に一種の力である。
powerful	The company's powerful influence extended throughout the entire industry.	その会社の強力な影響力は、業界全体に及んでいます。	A powerful storm knocked down several trees across the town.	強力な嵐が町中の木を何本も倒した。
practical	A practical solution to the problem would involve finding a compromise.	問題に対する現実的な解決策は、妥協点を見つけることでしょう。	Her advice to new employees was always practical rather than purely theoretical.	新入社員への彼女の助言は単に理論的というより常に現実的だった。
practically	The stadium was practically empty after the disappointing game ended.	残念な試合が終わった後、スタジアムはほとんど空っぽでした。	That century-old bridge was practically destroyed by the massive earthquake.	その築100年の橋は大地震でほとんど破壊された。
practice	The musicians need to practice their instruments daily if they want to improve quickly.	ミュージシャンたちはすぐに上達したいなら、毎日楽器の練習をする必要がある。	Young athletes practice for hours every single day before the season.	若いアスリートたちは、シーズン前に毎日何時間も練習する。
pragmatic	Instead of arguing about theory, the manager took a pragmatic approach to the problem.	理論について議論する代わりに、その管理者は問題に実用的な方法で取り組んだ。	Their manager took a pragmatic approach to solving several old problems.	彼らのマネージャーはいくつかの古い問題を解決するために現実的なアプローチを取った。
prairie	Wildflowers blanketed the vast prairie, creating a stunning vista for miles around.	野生の花が広大な草原を覆い、何マイルも続く素晴らしい景色を作り出していました。	Herds of bison once roamed freely across the vast prairie.	かつてバイソンの群れが広大な大草原を自由に歩き回っていた。
praise	The teacher gave Sarah high praise for her exceptional dedication to the school play.	先生はサラの学校劇への並外れた献身に対して、高い評価を与えました。	The coach praised the young player for her effort.	コーチはその若い選手の頑張りをほめた。
pray	Many people pray for peace and happiness every day around the world.	世界中の多くの人々が毎日平和と幸福を祈っています。	Each quiet evening, her grandmother would softly pray before dinner.	静かな毎晩、彼女の祖母は夕食の前にそっと祈っていた。
preach	Some religious leaders often preach messages of hope and compassion to their followers.	一部の宗教指導者は、しばしば信者に希望と慈悲のメッセージを説きます。	The old monk preached kindness to everyone who visited the temple.	その老僧は寺を訪れる誰にでも親切を説いた。
preacher	The preacher delivered a passionate sermon about the importance of kindness.	牧師は優しさの大切さについて情熱的な説教を行いました。	A young preacher gave an inspiring sermon at the small church.	若い説教者はその小さな教会で感動的な説教をした。
precaution	As a precaution, we should check the weather forecast before hiking in the mountains.	用心として、山でハイキングする前に天気予報を確認すべきです。	Workers wore helmets as a basic precaution against falling debris.	作業員たちは落下物に対する基本的な用心としてヘルメットを着用した。
precede	Always remember to check the list of ingredients before they precede the cooking process.	調理プロセスが始まる前に、必ず材料のリストを確認してください。	A brief introduction always precedes the main lecture in this course.	この講座では簡単な導入がいつも本題の講義に先行する。
precedent	The judge set an important precedent with her ruling on the case.	判事は、その事件の判決で重要な前例を作りました。	This court ruling set an important precedent for future similar cases.	この判決は今後の同様の事件にとって重要な前例となった。
preceding	Please refer to the preceding chapter for more details about this topic.	このトピックの詳細については、前章を参照してください。	Sales dropped sharply compared with the preceding three months of that year.	売り上げはその年の前の3か月と比べて急激に落ち込んだ。
precious	She considers her grandmother's antique necklace a precious family heirloom.	彼女は祖母のアンティークネックレスを大切な家宝として考えています。	Every precious minute mattered once the emergency surgery finally began.	緊急手術がついに始まると、貴重な1分1分が重要だった。
precipitation	The heavy precipitation caused widespread flooding across the region last night.	昨夜、大雨の降水により、地域全体で広範囲な洪水が発生しました。	This region receives very little precipitation throughout the dry season.	この地域は乾季を通してほとんど降水がない。
precise	The surgeon's precise movements ensured a successful and minimally invasive operation.	外科医の正確で精密な動きによって、成功した最小限侵襲的な手術が行われた。	The surgeon needs precise movements during such a delicate operation.	外科医はそのような繊細な手術の間、正確な動きを必要とする。
precisely	She followed the recipe precisely to ensure the cake would rise perfectly.	彼女はケーキが完璧に膨らむように、レシピを正確に守りました。	Even the lead scientist could not explain precisely why the experiment failed.	主任科学者でさえ、なぜその実験が失敗したのか正確に説明できなかった。
precision	The surgeon’s precision during the operation ensured a successful outcome for the patient.	外科医の執刀における正確さが、患者さんの成功した結果をもたらしました。	The engineer assembled the tiny watch parts with remarkable precision.	その技術者は驚くほどの正確さで小さな時計の部品を組み立てた。
preclude	Ignoring their advice could preclude you from receiving valuable support later on.	彼らのアドバイスを無視すると、後で貴重なサポートを受けることができなくなる可能性があります。	His lack of experience did not preclude him from getting hired.	経験不足は彼が雇われることを排除しなかった。
preconceived	It’s important to avoid preconceived notions and approach each situation with an open mind.	先入観にとらわれず、オープンマインドでそれぞれの状況に取り組むことが重要です。	Try to set aside your preconceived notions before visiting a new country.	新しい国を訪れる前に、あらかじめ考えた先入観は脇に置くようにしよう。
predate	The ancient ruins predated the arrival of European settlers by centuries.	その古代遺跡は、ヨーロッパの入植者が到着する前から何世紀も前に作られました。	This ancient temple predates most other buildings in the city.	この古代の寺院は街の他のほとんどの建物より以前からある。
predator	The owl is a nocturnal predator, silently hunting for small rodents in the darkness.	フクロウは夜行性の捕食動物で、暗闇の中で小さなげっ歯類を静かに狩ります。	Wolves remain the main predator within this remote mountain ecosystem.	オオカミはこの人里離れた山岳生態系における主要な捕食動物である。
predecessor	The new CEO learned a lot from her predecessor’s experience and leadership style.	新しいCEOは、前任者の経験とリーダーシップスタイルから多くのことを学びました。	Her predecessor left several unresolved problems for the new director.	彼女の前任者は新しい部長のために未解決の問題をいくつか残した。
predict	Experts predict a significant increase in demand for electric vehicles next year.	専門家は来年、電気自動車に対する需要が大幅に増加すると予測しています。	No one could predict how the story would end.	誰もその物語がどう終わるか予測できなかった。
predominantly	The local economy is predominantly based on agriculture and tourism.	この地域の経済は主に農業と観光に依存しています。	The audience at the concert was predominantly made up of teenagers.	そのコンサートの観客は主にティーンエイジャーで構成されていた。
preemptive	The company took a preemptive measure to address potential security risks.	会社は、潜在的なセキュリティリスクに対処するために先制的な措置を講じました。	The general ordered a preemptive strike before the enemy could attack.	その将軍は敵が攻撃する前に先制の攻撃を命じた。
preface	The preface to the novel thanked everyone who had contributed to its creation.	小説の序文では、制作に貢献したすべての人々に感謝を述べています。	The author explained her purpose clearly in the book's preface.	著者はその本の序文で自分の目的を明確に説明した。
prefecture	My family visited a traditional festival in Kagoshima Prefecture last summer.	私の家族は、去年の夏に鹿児島県で伝統的なお祭りに行きました。	My grandparents still live in a small prefecture near Kyoto.	私の祖父母は今も京都近くの小さな県に住んでいる。
prefer	I prefer coffee in the morning, but tea is nice in the afternoon.	私は朝にコーヒーが好きですが、午後は紅茶もいいですね。	Most students at this college prefer online classes over traditional lectures.	この大学のほとんどの学生は従来の講義よりオンライン授業の方を好む。
prefer_a_to_b	I prefer tea to coffee; it’s a more refreshing and calming beverage.	私はコーヒーよりも紅茶が好きです。より爽やかで落ち着く飲み物だからです。	She prefers tea to coffee, especially early in the morning.	彼女は特に朝早くはコーヒーより紅茶の方を好む。
preference	Her preference is for classical music over modern pop songs.	彼女の好みは、現代ポップソングよりもクラシック音楽です。	Everyone on the team has a strong preference for working remotely.	チームの誰もがリモートで働くことに強い好みを持っている。
pregnancy	She announced her pregnancy and plans to take maternity leave next year.	彼女は妊娠を発表し、来年産休を取る予定だと伝えました。	Doctors recommend regular checkups throughout every single stage of pregnancy.	医師は妊娠のあらゆる段階を通じて定期的な検診を勧めている。
pregnant	My sister is pregnant with twins, and we are all incredibly excited for her.	私の妹は双子を妊娠しており、私たち家族全員がとても喜んでいる。	She stayed active and healthy while pregnant with her first child.	彼女は第一子を妊娠している間、活発で健康を保った。
prehistoric	Archaeologists are studying prehistoric tools discovered at the excavation site.	考古学者は発掘現場で発見された先史時代の道具を研究しています。	Archaeologists uncovered prehistoric bones buried deep beneath the desert sand.	考古学者たちは砂漠の砂の深くに埋まっていた有史以前の骨を発見した。
prejudice	It's important to educate children against prejudice and promote understanding of different cultures.	子供たちに偏見を持たせないように教育し、さまざまな文化への理解を促進することが重要です。	Sadly, prejudice against immigrants still exists in many communities today.	残念ながら、移民に対する偏見は今も多くの地域社会に存在している。
preliminary	The researchers conducted a preliminary study to determine the feasibility of the project.	研究者たちはプロジェクトの実現可能性を判断するために予備調査を実施しました。	The committee held a preliminary meeting before the official conference began.	委員会は正式な会議が始まる前に予備的な会合を開いた。
premature	Declaring victory at this stage seems a little premature, given the ongoing challenges.	この段階で勝利を宣言するのは、まだ課題が残っていることを考えると早計です。	Doctors said her decision to stop the treatment early was premature.	医師たちは彼女が早期に治療をやめる決断は早すぎると言った。
premier	The premier announced new policies aimed at boosting economic growth and reducing unemployment.	首相は、経済成長を促進し失業を減らすことを目的とした新たな政策を発表した。	The premier announced new economic reforms during his speech yesterday.	首相は昨日の演説で新たな経済改革を発表した。
premise	The movie’s entire premise rested on the idea of time travel and alternate realities.	映画の前提全体が、タイムトラベルと並行世界のアイデアに基づいています。	His entire argument rests on a rather questionable and outdated premise.	彼の議論全体はかなり疑わしい時代遅れの前提に基づいている。
premium	This car offers a premium sound system and luxurious leather seats.	この車はプレミアムなサウンドシステムと豪華な本革シートが装備されています。	Her monthly insurance premium increased sharply right after the car accident.	彼女の月々の保険料は自動車事故の直後に急に上がった。
preoccupation	Her preoccupation with social media often distracts her from more important tasks.	彼女のソーシャルメディアへの没頭は、しばしばより重要なタスクから気をそらします。	His constant preoccupation was earning enough money to support his family.	彼の絶え間ない最大の関心事は家族を養うのに十分なお金を稼ぐことだった。
preoccupied	He was preoccupied with the upcoming exam and barely noticed her arrival.	彼は次の試験のことを考えていて、彼女の到着にほとんど気づきませんでした。	She seemed completely preoccupied with her phone during the entire meeting.	彼女は会議中ずっとスマートフォンにすっかり夢中になっているようだった。
preoccupy	The thought of her upcoming exam completely preoccupied her mind.	彼女の差し迫った試験のことを考えると、彼女の心は完全に奪われました。	Worries about the upcoming exam seemed to preoccupy her all week.	来る試験への心配が一週間ずっと彼女の心を奪っているようだった。
preparation	Thorough preparation is key to success in any challenging endeavor, big or small.	どんな困難な試みでも、周到な準備が成功への鍵となります。	Careful preparation made the difference during the final exam period.	丁寧な準備が期末試験期間において違いを生んだ。
prepare	Please prepare your notes and questions before the lecture begins next week.	来週の講義が始まる前に、ノートと質問を準備してください。	Students should always prepare their notes carefully before the exam.	生徒たちは試験の前に、いつもノートを注意深く準備すべきだ。
prepare_for	Students should prepare for the upcoming exams by reviewing their notes regularly.	生徒たちは定期的にノートを見直すことで、次の試験に備えるべきです。	Students began to prepare for the entrance exam months in advance.	生徒たちは入試の何か月も前から準備を始めた。
prepayment	The prepayment penalty for breaking the mortgage agreement was surprisingly high.	住宅ローン契約を破棄するための前払いは、予想以上に高額でした。	The hotel required a small prepayment before confirming our reservation online.	そのホテルはオンラインで予約を確定する前にわずかな前払いを求めた。
prerequisite	A strong foundation in mathematics is a prerequisite for advanced physics courses.	高度な物理学のコースを受けるには、数学における強固な基礎知識が必須条件です。	Basic chemistry is a prerequisite for this advanced biology course.	基礎化学はこの上級生物学の講座を受けるための必須条件だ。
prescribe	The doctor will prescribe medication to help alleviate her persistent cough.	医者は彼女の持続的な咳を和らげるために薬を処方します。	A doctor prescribed antibiotics to treat his severe throat infection.	医師は彼のひどい喉の感染症を治療するために抗生物質を処方した。
prescription	The doctor wrote a prescription for antibiotics to treat her infection.	医者は彼女の感染症を治療するための処方箋を出しました。	The pharmacist checked the prescription carefully before handing over the medicine.	薬剤師は薬を渡す前にその処方を注意深く確認した。
presence	Her calming presence immediately eased the tension in the crowded waiting room.	彼女の落ち着いた存在感は、混雑した待合室での緊張をすぐに和らげた。	Her calm presence helped everyone stay relaxed during the crisis.	彼女の落ち着いた存在は危機の間みんなをリラックスさせるのに役立った。
present	The professor gave a present to each student for their hard work.	教授は生徒たちの努力を称賛して、それぞれにプレゼントをあげました。	The present economic situation demands immediate and extremely careful attention.	現在の経済状況は迅速かつ非常に慎重な対応を必要としている。
present_a_with_b	The company will present its employees with a bonus this year.	会社は今年の従業員にボーナスを贈呈します。	During class, their teacher decided to present the students with surprising new evidence.	授業中、彼らの先生は生徒たちに驚くべき新しい証拠を見せることにした。
preservative	Many processed foods contain preservatives to extend their shelf life.	多くの加工食品には、賞味期限を延ばすための保存料が含まれています。	This homemade bread contains no artificial preservatives or added chemicals at all.	この自家製パンには人工保存料も添加化学物質も一切含まれていない。
preserve	The museum works tirelessly to preserve historical artifacts for future generations.	博物館は、将来の世代のために歴史的な遺物を保存するために尽力しています。	Volunteers work hard every summer to preserve the coastal wetlands.	ボランティアたちは毎年夏、沿岸の湿地を保護するために懸命に働く。
president	The president delivered a speech emphasizing unity and progress for the nation.	大統領は、国民の団結と進歩を強調する演説を行いました。	Their newly elected president promised to reform the education system.	彼らの新しく選ばれた大統領は、教育制度を改革すると約束した。
presidential	The presidential election is a significant event for the entire nation.	大統領選挙は、国民全体にとって重要な出来事です。	Millions of citizens watched the presidential debate live on television.	何百万人もの市民がテレビで大統領の討論会を生中継で見た。
press	The press is constantly scrutinizing politicians and their actions.	報道機関は常に政治家や彼らの行動を厳しく監視しています。	You must press the red button twice to restart it.	それを再起動するには赤いボタンを2回押さなければならない。
press_for	Environmental groups are pressing for stricter regulations on pollution.	環境保護団体は、汚染に対するより厳しい規制を強く求めている。	Environmental groups continue to press for much stricter pollution regulations nationwide.	環境団体はより厳しい汚染規制を強く求め続けている。
pressing	The company faces pressing deadlines for the new product launch next month.	会社は来月予定されている新製品の発売に対して差し迫った締め切りに直面しています。	Climate change remains the most pressing issue of our time.	気候変動は私たちの時代における最も差し迫った問題であり続けている。
pressure	The pressure of the upcoming exams is making it difficult to sleep well at night.	差し迫った試験のプレッシャーが、夜ぐっすり眠るのを難しくしています。	The young athlete felt enormous pressure before the Olympic final.	その若いアスリートはオリンピック決勝の前に大きな重圧を感じた。
prestige	The university's prestige attracts many talented students from around the world.	その大学の名声は、世界中から多くの才能ある学生を引き寄せます。	Winning that award brought great prestige to the small university.	その賞を受賞したことはその小さな大学に大きな名声をもたらした。
prestigious	Attending the prestigious university was a lifelong dream of hers.	その名声の高い大学への進学は彼女の長年の夢でした。	She was accepted into one of the most prestigious universities abroad.	彼女は海外で最も名声のある大学の1つに合格した。
presumably	The train is late; presumably there was an accident somewhere along the line.	電車が遅れています。線路のどこかで事故があったのかもしれません。	Presumably, the missing documents were lost during the office move.	おそらく、行方不明の書類はオフィスの移転の際に紛失したのだろう。
presume	I presume you’ve already completed the assignment, given your usual diligence.	あなたのいつもの勤勉さを考えると、宿題はもう終わったと推測します。	Investigators presume the fire started accidentally in the old kitchen.	捜査官たちはその火事は古い台所で偶然に始まったと推定している。
pretend	The children pretended to be superheroes, running and jumping around the playground.	子供たちは遊び場で走り回り、スーパーヒーローのふりをしていた。	He decided to pretend that he had not heard the rumor.	彼はその噂を聞いていないふりをすることに決めた。
pretense	He put on a pretense of cheerfulness, but his eyes betrayed his sadness.	彼は元気なふりをしたが、目は悲しみを物語っていた。	For months, he kept up the pretense of being perfectly happy.	彼は何か月も幸せなふりを続けた。
pretext	She used the pretext of needing groceries to avoid an awkward conversation.	彼女は気まずい会話を避ける口実に、食料品が必要だと言った。	She used a minor illness as a pretext to skip the meeting.	彼女は軽い病気を会議を欠席する口実として使った。
pretty	The flowers in her garden are incredibly pretty and attract many butterflies.	彼女の庭の花はとても綺麗で、たくさんの蝶がやってきます。	That little girl looked pretty in her new yellow dress.	その小さな女の子は、新しい黄色いドレスを着てかわいく見えた。
prevail	Despite the challenges, a spirit of optimism continued to prevail throughout the project.	困難にもかかわらず、楽観的な精神がプロジェクト全体に広まり続けました。	This old tradition still seems to prevail in many rural villages.	この古い伝統は今も多くの農村で普及しているようだ。
prevalent	The use of smartphones is now prevalent among teenagers worldwide.	スマートフォンを使用する習慣は世界中の十代の若者の間で今や蔓延しています。	Smoking still remains quite prevalent among teenagers in several developing countries.	喫煙はいくつかの発展途上国の10代の若者の間で今も蔓延している。
prevent	Regular exercise can help prevent heart disease and improve overall health.	定期的な運動は心臓病を予防し、全体的な健康状態を改善するのに役立ちます。	Heavy fog prevented the plane from landing safely.	濃い霧が飛行機の安全な着陸を妨げた。
